step_times,step_durs,states_visited,true_goal_probs,goal_probs_0,goal_probs_1,goal_probs_2
6.891660928726196,6.891660928726196,1093,0.3333333333333332,0.3333333333333332,0.3333333333333332,0.3333333333333332
7.241796970367432,0.35013604164123535,36,0.3043478231087105,0.3478260835528112,0.3043478231087105,0.34782609333847736
7.551663875579834,0.30986690521240234,32,0.31818181655424294,0.3181818216694781,0.31818181655424294,0.3636363617762788
8.23570704460144,0.6840431690216064,83,0.39999997974367085,0.30000000450140735,0.39999997974367085,0.300000015754922
8.824421882629395,0.5887148380279541,70,0.3999999999999956,0.2000000225070365,0.3999999999999956,0.39999997749296823
9.841845035552979,1.017423152923584,139,0.42307692307630873,0.1923076923074131,0.42307692307630873,0.3846153846162781
9.978343963623047,0.13649892807006836,0,0.42307692307630873,0.1923076923074131,0.42307692307630873,0.3846153846162781
10.072202920913696,0.09385895729064941,0,0.5238094079145835,2.2125217892103378e-7,0.5238094079145835,0.4761903708332373
10.233618021011353,0.16141510009765625,3,0.6153845987371966,3.321241895777175e-13,0.6153845987371966,0.3846154012624708
10.375123023986816,0.14150500297546387,0,0.6153846220418138,2.7425160859598185e-12,0.6153846220418138,0.38461537795544387
12.742485046386719,2.3673620223999023,354,0.6428571457279373,2.6631138708989732e-25,0.6428571457279373,0.35714285427206144
13.01128101348877,0.2687959671020508,28,0.9999999296655236,7.47447862469053e-53,0.9999999296655236,7.033447727382216e-8
13.958827018737793,0.9475460052490234,105,0.9999999999999984,1.5983534300451474e-80,0.9999999999999984,1.5040427385756433e-35
14.1007559299469,0.14192891120910645,0,0.9999999999999994,1.697405822279614e-81,0.9999999999999994,6.79295715030782e-63
14.26493787765503,0.16418194770812988,5,0.9999999999999994,3.2037038834691886e-129,0.9999999999999994,3.3961989308331413e-100
14.389695882797241,0.12475800514221191,0,0.9999999999999994,1.228142569813347e-218,0.9999999999999994,5.061546394555883e-134
14.464004039764404,0.07430815696716309,0,0.9999999999999994,0.0,0.9999999999999994,7.543507440525077e-168
