step_times,step_durs,states_visited,true_goal_probs,goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4
8.911072015762329,8.911072015762329,1513,0.20000000000000007,0.20000000000000007,0.20000000000000007,0.20000000000000007,0.20000000000000007,0.20000000000000007
9.29455280303955,0.3834807872772217,0,0.45454545446759587,0.45454545446759587,2.6763845335060948e-11,0.0909090910112801,2.6763845335060948e-11,0.45454545446759587
9.840744018554688,0.5461912155151367,51,0.2500546660511673,0.7499210379260909,5.488605017700457e-20,2.429602274108214e-5,5.488605017700583e-19,0.2500546660511673
10.220090866088867,0.3793468475341797,0,0.7500002486407438,0.24999975135921224,0.0,0.0,4.4434507657852246e-14,0.7500002486407438
13.601099967956543,3.381009101867676,477,0.9545454545466037,0.04545454545339518,0.0,0.0,1.7172618150166882e-22,0.9545454545466037
13.992341995239258,0.39124202728271484,0,0.9999995936213382,4.0637866180455237e-7,0.0,0.0,4.5491755475419555e-19,0.9999995936213382
14.6996169090271,0.7072749137878418,66,0.9999999994329685,5.6703103415249e-10,0.0,0.0,3.9233300761947834e-33,0.9999999994329685
15.109864950180054,0.4102480411529541,0,0.9999999999999982,1.2055670093752401e-17,0.0,0.0,1.7730368744240873e-48,0.9999999999999982
15.610448837280273,0.5005838871002197,33,0.9999999999999983,7.088747855326993e-28,0.0,0.0,8.010878465209431e-64,0.9999999999999983
17.45232892036438,1.8418800830841064,137,0.9999999999999983,1.0971878203500271e-39,0.0,0.0,6.876865534490204e-78,0.9999999999999983
17.993680953979492,0.5413520336151123,37,0.9999999999999983,9.416107861131792e-54,0.0,0.0,8.60676844994363e-96,0.9999999999999983
