variable,mean,std,min,max,median
q1_true_goal_prob,0.3988212263795591,0.2359570603752599,1.2032342585647762e-36,1.000000000000014,0.3333333333333333
mid_true_goal_prob,0.4916245321766096,0.3957799150658294,0.0,1.000000000000002,0.34482758620689646
q3_true_goal_prob,0.6262602586489777,0.39605039796259367,0.0,1.000000000000014,0.7417582331458519
end_true_goal_prob,0.6692380015154566,0.4210998795794371,0.0,1.000000000000014,0.8998753807825057
q1_is_top_ranked,0.7666666666666667,0.4301830671520763,false,true,1.0
mid_is_top_ranked,0.7,0.466091599699399,false,true,1.0
q3_is_top_ranked,0.7333333333333333,0.44977644510880366,false,true,1.0
end_is_top_ranked,0.7333333333333333,0.44977644510880366,false,true,1.0
total_states_visited,17271.833333333332,8082.305629064593,4923,41281,15137.0
initial_states_visited,11594.866666666667,4530.582247222819,4546,24015,10869.5
marginal_states_visited,177.97232636169116,128.02228098736379,4.666666666666667,537.0,156.75525210084032
average_states_visited,714.1719851017842,367.1923710588033,217.9591836734694,1738.75,609.7867647058824
total_dur,13.582315444946289,8.463057353079108,3.5515801906585693,39.56401300430298,10.623416423797607
initial_dur,5.307539542516072,2.227777734058819,2.5629000663757324,11.687100887298584,4.752942442893982
marginal_dur,0.2770496752490916,0.10682641943121296,0.1451959695134844,0.5012365304506742,0.25933428208033243
average_dur,0.5195230383107342,0.2358686326795685,0.24521820204598563,1.1854774951934814,0.44446719818645053
