Domain,Method,Q1_mean,Q1_std,Q2_mean,Q2_std,Q3_mean,Q3_std,N_mean,N_std,Q1_top_ranked_mean,Q1_top_ranked_std,Q2_top_ranked_mean,Q2_top_ranked_std,Q3_top_ranked_mean,Q3_top_ranked_std
taxi,sips,0.3516684,0.074571684,0.46387917,0.27622518,0.5275461,0.34602287,1380.3334,304.38742,0.41666666,0.51492864,0.41666666,0.51492864,0.41666666,0.51492864
taxi,prp,0.33333334,0.0,0.3611111,0.06487491,0.44444445,0.08206099,6774.25,2078.0835,1.0,0.0,1.0,0.0,1.0,0.0
block-words,sips,0.4096123,0.25964502,0.6943422,0.44741777,0.72903997,0.4518303,2176.2666,1011.6701,0.73333335,0.4577377,0.73333335,0.4577377,0.73333335,0.4577377
block-words,prp,0.3763207,0.17976983,0.775293,0.28206494,0.91113263,0.17813914,3962.4666,1375.6936,0.93333334,0.2581989,0.93333334,0.2581989,1.0,0.0
doors-keys-gems,sips,0.3919656,0.18822233,0.64392805,0.32211766,0.8955442,0.17717427,18868.467,11421.121,0.8,0.41403934,0.8,0.41403934,1.0,0.0
doors-keys-gems,prp,0.39758486,0.17464763,0.6172219,0.30065167,0.8138922,0.2620294,278870.6,229905.27,1.0,0.0,1.0,0.0,1.0,0.0
intrusion-detection,sips,0.6850251,0.43442827,0.9982883,0.0076498836,1.0,2.5428202e-15,14349.5,3568.906,0.7,0.47016233,1.0,0.0,1.0,0.0
intrusion-detection,prp,0.16968627,0.22332628,0.5935891,0.27989626,0.86715704,0.2173605,43864.05,3331.6848,0.6,0.5026247,0.8,0.41039133,0.95,0.2236068
