variable,mean,std,min,max,median
q1_true_goal_prob,0.34549925852451935,0.20211184480185412,0.0,1.0000000000000007,0.36622072646791937
mid_true_goal_prob,0.39339814901629705,0.2895680299765697,0.0,0.9999999999999997,0.39444443440614885
q3_true_goal_prob,0.46820643606643003,0.4242998034888552,0.0,1.0,0.5101757014069571
end_true_goal_prob,0.7867119579718178,0.41260305315675133,0.0,1.0000000000000044,0.9999999999999996
q1_is_top_ranked,0.4583333333333333,0.5089773777040516,false,true,0.0
mid_is_top_ranked,0.4166666666666667,0.5036101551853348,false,true,0.0
q3_is_top_ranked,0.5833333333333334,0.5036101551853348,false,true,1.0
end_is_top_ranked,0.7916666666666666,0.41485111699905347,false,true,1.0
total_states_visited,1873.375,1386.3671266236115,875,6259,1392.0
initial_states_visited,799.875,156.745241242514,528,1113,812.5
marginal_states_visited,61.31228530638763,49.49909237749473,0.5714285714285714,197.33333333333334,46.61904761904762
average_states_visited,111.92841994723041,41.63971144391518,65.13333333333334,229.6315789473684,99.7
total_dur,13.63838878273964,9.166343177806958,6.81991982460022,43.18108892440796,10.797740936279297
initial_dur,5.1122041543324785,1.1159059013944344,3.3951590061187744,7.578679084777832,5.111020922660828
marginal_dur,0.5115716575347765,0.2897368995969151,0.1322500024523054,1.343400001525879,0.4228639006614685
average_dur,0.8250677280152557,0.25004269330348666,0.5018112659454346,1.5581776342893903,0.7598325888315837
