step_times,step_durs,states_visited,true_goal_probs,goal_probs_0,goal_probs_1,goal_probs_2,goal_probs_3,goal_probs_4
11.561080932617188,11.561080932617188,446,0.2,0.2,0.2,0.2,0.2,0.2
35.44933199882507,23.888251066207886,975,0.41562658715921197,0.41562658715921197,0.056248941893858644,0.056248941893858644,0.056248941893858644,0.41562658715921197
51.055954933166504,15.60662293434143,537,0.30574769903478943,0.30574769903478943,0.041378451447815844,0.041378451447815844,0.30574769903478943,0.30574769903478943
63.22974610328674,12.17379117012024,415,0.7020886843348313,0.09501737095167516,0.012859202810143251,0.09501737095167516,0.09501737095167516,0.7020886843348313
70.68636798858643,7.456621885299683,265,0.46379399714153186,0.00849468337040691,0.001149630379939363,0.06276769196658996,0.46379399714153186,0.46379399714153186
82.15934205055237,11.472974061965942,439,0.8649209123146451,0.002143924594044179,3.92673486691892e-5,0.01584157909726956,0.11705431664537196,0.8649209123146451
88.93796300888062,6.778620958328247,259,0.9772128206535255,0.0024222684062611983,4.436539342066976e-5,0.0024222684062611983,0.01789827714053133,0.9772128206535255
98.47623491287231,9.5382719039917,401,0.9968541062348119,0.0003344072981129397,6.1248833139938826e-6,0.0003344072981129397,0.002470954285648337,0.9968541062348119
105.83036208152771,7.3541271686553955,314,0.9992780521872807,0.00033522044139204857,6.139776552658841e-6,4.536715338249521e-5,0.00033522044139204857,0.9992780521872807
116.7642879486084,10.933925867080688,449,0.9995677801949587,0.0003353176343108812,4.538030701369402e-5,6.141556703062722e-6,4.538030701369402e-5,0.9995677801949587
132.1379098892212,15.373621940612793,635,0.9999022339585361,4.539549119106923e-5,4.539549119106923e-5,8.314474238323375e-7,6.1436116580085115e-6,0.9999022339585361
