q1_true_goal_prob,mid_true_goal_prob,q3_true_goal_prob,end_true_goal_prob,q1_is_top_ranked,mid_is_top_ranked,q3_is_top_ranked,end_is_top_ranked,total_states_visited,initial_states_visited,marginal_states_visited,average_states_visited,total_dur,initial_dur,marginal_dur,average_dur
0.4175704285281323,0.9927241850065375,0.9997921696547325,0.9999992657511669,true,true,true,true,51250,2764,2424.3,2440.4761904761904,2006.4552729129791,94.65793085098267,95.58986710309982,95.54548918633233
0.4285669218317085,0.9886289628423622,0.9997038703805874,0.9999992657511669,true,true,true,true,50808,2764,2402.2,2419.4285714285716,2146.8537809848785,89.13619303703308,102.88587939739227,102.23113242785136
0.2060614015990879,0.8487051165482284,0.9780599791681636,0.9973604989474004,true,true,true,true,46894,2764,2451.6666666666665,2468.1052631578946,1990.7442319393158,89.09524202346802,105.64716610643599,104.77601220733241
0.2060614015990879,0.8409302960894918,0.9890648935592281,0.9973604989474004,true,true,true,true,44032,2764,2292.6666666666665,2317.4736842105262,1869.7496409416199,88.86453580856323,98.93806139628093,98.40787583903263
0.28777239815551997,0.046590252991803416,0.9435230763371517,0.9987515009294377,true,false,true,true,41363,2764,2573.266666666667,2585.1875,1806.724356174469,89.10465908050537,114.50797980626425,112.92027226090431
0.2337439594216731,0.04682741173730676,0.9709344734338292,0.9987515009294377,true,false,true,true,41612,2764,2589.866666666667,2600.75,1795.4981341362,89.06645011901855,113.7621122678121,112.2186333835125
0.11121116606713685,0.45310189295613024,0.861751358263895,0.995918146321339,true,true,true,true,38632,2764,2562.0,2575.4666666666667,1482.4649260044098,88.94037008285522,99.53746828011104,98.83099506696065
0.11121116606713685,0.6225254735047799,0.9266651045546692,0.995918146321339,true,true,true,true,37235,2764,2462.214285714286,2482.3333333333335,1441.9064350128174,88.7267382144928,96.65569262845176,96.12709566752116
0.18804023642646753,0.6204712548915255,0.9435121067407631,0.9792281009627508,true,true,true,true,43160,2764,2376.235294117647,2397.777777777778,1802.067677974701,88.54168915748596,100.79564640101265,100.1148709985945
0.21450989039832197,0.8083423439312116,0.9710024060477417,0.9792281009627508,true,true,true,true,43489,2764,2395.5882352941176,2416.0555555555557,1837.9257690906525,89.1808340549469,102.86734911974739,102.10698717170291
0.19429116874358432,0.6568360571050044,0.9611406440765188,0.9964921901606703,true,true,true,true,45341,2764,2504.529411764706,2518.9444444444443,1936.8733508586884,88.77435994148254,108.71170534807094,107.60407504770491
0.1756392976407582,0.6974267191009037,0.950946342319452,0.9964921901606703,true,true,true,true,44403,2764,2449.3529411764707,2466.8333333333335,1875.7401568889618,88.97858905792236,105.10362163711997,104.20778649383121
0.22894832592088848,0.7247475739312977,0.9591920987326388,0.9904379831986474,true,true,true,true,41621,2764,2590.4666666666667,2601.3125,1799.155967950821,88.66330194473267,114.03284440040588,112.44724799692631
0.16025489464477766,0.6400143881111213,0.8058544477949444,0.9904379831986474,true,true,true,true,41951,2764,2612.4666666666667,2621.9375,1777.5455281734467,89.00977802276611,112.56905001004537,111.09659551084042
0.22354449587425043,0.252659051055507,0.8729353276436924,0.9908002999221247,true,false,true,true,41259,2764,2264.4117647058824,2292.1666666666665,1746.5703990459442,89.25713586807251,97.48901548105128,97.03168883588579
0.18016216673604504,0.2582408048834376,0.9726489253514657,0.9908002999221247,true,false,true,true,43175,2764,2377.1176470588234,2398.6111111111113,1834.725853919983,88.99282908439636,102.69017793150509,101.92921410666571
0.16645818176395716,0.7572654181387459,0.04726476206624819,0.26833709089302676,true,true,false,false,45913,2764,2696.8125,2700.764705882353,2036.2715401649475,88.95343399047852,121.70738163590431,119.7806788332322
0.0001233528204274339,0.8532060062675616,0.04737767793244851,0.26833709089302676,false,true,false,false,48716,2764,2872.0,2865.6470588235293,2125.0800580978394,88.68021702766418,127.27499006688595,125.0047092998729
0.18311857296243222,0.0001233932859192945,0.977133758738299,0.9929095921684223,true,false,true,true,45343,2764,2504.6470588235293,2519.0555555555557,2004.384474992752,88.77204704284668,112.68308399705326,111.3546930551529
0.24324075414249988,0.8694524452066301,0.9924923361062868,0.9929095921684223,true,true,true,true,44445,2764,2451.823529411765,2469.1666666666665,2068.8266611099243,91.65261816978455,116.30435546706704,114.9348145061069
0.23021861840388014,0.25256504771335697,0.9716637432600329,0.977108021674991,true,false,true,true,45460,2764,2372.0,2392.6315789473683,2048.077096939087,92.0014259815216,108.67087060875363,107.79353141784668
0.19199894120606661,0.8260812553922476,0.8733165987201977,0.977108021674991,true,true,true,true,45457,2764,2371.8333333333335,2392.4736842105262,2057.0843698978424,91.49543190002441,109.19938544432323,108.26759841567592
0.2742682966843252,0.5452051268074991,0.8676810060906323,0.9913387552691679,true,true,true,true,41253,2764,2565.9333333333334,2578.3125,1906.1012651920319,94.84089803695679,120.75069114367167,119.13132907450199
0.24324075414249993,0.04672048263982565,0.9347214769728213,0.9913387552691679,true,false,true,true,41448,2764,2578.9333333333334,2590.5,1800.8581058979034,91.83933091163635,113.93458499908448,112.55363161861897
0.23021861840388014,0.7048259791891429,0.994794975711757,0.9999050773269099,true,true,true,true,43738,2764,2410.235294117647,2429.8888888888887,2000.2391769886017,88.98370313644409,112.42679257953868,111.12439872158899
0.2679806235850265,0.9342074867965879,0.2687482355040071,0.9999050773269099,true,true,false,true,44443,2764,2451.705882352941,2469.0555555555557,2079.3276739120483,93.16594099998474,116.83304311247433,115.51820410622491
0.12304302948126604,0.24346094569263893,0.6065754636264096,0.9471501366891696,true,true,true,true,39310,2764,2610.4285714285716,2620.6666666666665,1675.8429851531982,106.25967812538147,112.11309335912976,111.72286567687988
