step_times,step_durs,states_visited,true_goal_probs,goal_probs_0,goal_probs_1,goal_probs_2
6.496009111404419,6.496009111404419,794,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
13.043687105178833,6.547677993774414,782,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
18.971292972564697,5.927605867385864,722,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
24.591819047927856,5.620526075363159,653,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
29.860527992248535,5.268708944320679,587,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
33.91734504699707,4.056817054748535,473,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
35.86789107322693,1.9505460262298584,245,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
37.09448003768921,1.2265889644622803,155,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
37.81653308868408,0.722053050994873,91,0.5,1.5695663960240148e-17,0.5,0.5
38.406108140945435,0.5895750522613525,74,0.5,4.927077343055629e-34,0.5,0.5
39.080058097839355,0.6739499568939209,80,0.5,1.5466750056542803e-50,0.5,0.5
40.33209705352783,1.2520389556884766,144,1.0,9.710436457780846e-67,3.1391327920480296e-17,1.0
43.37182092666626,3.0397238731384277,314,1.0,3.0482349509718567e-83,9.854154686111257e-34,1.0
47.09360098838806,3.7217800617218018,398,1.0,6.282880511239462e-92,2.031092662734811e-42,1.0
