q1_true_goal_prob,mid_true_goal_prob,q3_true_goal_prob,end_true_goal_prob,q1_is_top_ranked,mid_is_top_ranked,q3_is_top_ranked,end_is_top_ranked,total_states_visited,initial_states_visited,marginal_states_visited,average_states_visited,total_dur,initial_dur,marginal_dur,average_dur
1.0562311429495395e-12,3.662070033299909e-33,1.0,1.0000000000000084,false,false,true,true,15463,6929,426.7,736.3333333333334,245.3838198184967,189.26674389839172,2.805853796005249,11.684943800880795
1.5620961249536099e-9,1.000000000000002,1.0000000000000024,0.9999999999999999,false,true,true,true,24785,7596,859.45,1180.2380952380952,261.11966609954834,194.45331597328186,3.333317506313324,12.434269814264207
0.9999928497993449,1.0,0.9999999999999991,1.0000000000000022,true,true,true,true,12936,7454,304.55555555555554,680.8421052631579,219.44539284706116,187.53022480010986,1.7730648914972942,11.549757518266377
0.13875287460942975,0.9999999999983012,0.999999999999997,1.0000000000000016,false,true,true,true,13537,7698,324.3888888888889,712.4736842105264,219.75278210639954,175.34186816215515,2.467272996902466,11.565935900336818
0.0009604156487881267,1.0000000000000067,1.0000000000000107,1.000000000000002,false,true,true,true,9475,7757,114.53333333333333,592.1875,226.3642611503601,196.8318281173706,1.9688288688659668,14.147766321897507
0.7517970211017292,1.0000000000000013,1.0000000000000009,0.999999999999997,true,true,true,true,11763,7317,296.4,735.1875,232.76117086410522,195.65393996238708,2.473815393447876,14.547573179006577
0.7662643248134148,1.000000000000003,1.0000000000000029,1.000000000000003,true,true,true,true,9563,6773,199.28571428571428,637.5333333333333,230.97056102752686,195.90385603904724,2.504764642034258,15.398037401835124
0.5038830170433577,0.9999999999418367,0.9999999999999953,0.9999999999999994,true,true,true,true,10899,7795,221.71428571428572,726.6,267.29340410232544,207.2121319770813,4.291519437517438,17.819560273488364
7.563623151793024e-6,0.999999999998671,1.0000000000000075,0.9999999999999987,false,true,true,true,14055,7954,358.88235294117646,780.8333333333334,250.15761399269104,208.95983695983887,2.4233986489913044,13.89764522181617
0.9991570760157485,0.9999999999999977,0.9999999999999933,1.000000000000003,true,true,true,true,13004,7573,319.47058823529414,722.4444444444445,238.2425401210785,199.62311911582947,2.2717306473675896,13.23569667339325
1.4688026012467266e-5,0.9999999999999999,0.9999999999999997,1.0000000000000033,false,true,true,true,10571,7405,186.23529411764707,587.2777777777778,224.16736602783203,186.36180806159973,2.2238563509548412,12.45374255710178
0.004418349459084117,0.9999999999952266,0.9999999999999999,0.9999999999999996,false,true,true,true,16685,7457,542.8235294117648,926.9444444444445,248.64053606987,187.934063911438,3.5709689504960003,13.813363114992777
0.9605900403632479,1.0000000000000047,0.9999999999999939,1.0000000000000033,true,true,true,true,11340,8021,221.26666666666668,708.75,232.81791496276855,189.14881110191345,2.9112735907236735,14.551119685173035
0.2419524300612392,0.9999999999869577,1.0000000000000013,0.9999999999999984,false,true,true,true,10138,7980,143.86666666666667,633.625,223.9665219783783,187.77629494667053,2.412681802113851,13.997907623648643
0.9970942305106638,0.9999999999999996,1.0000000000000038,0.999999999999997,true,true,true,true,13506,7618,346.3529411764706,750.3333333333334,235.79970288276672,185.06292295455933,2.984516466365141,13.09998349348704
0.19706878325355165,0.9999999999999953,0.9999999999999978,0.9999999999999988,false,true,true,true,12340,7266,298.47058823529414,685.5555555555555,208.33144998550415,176.04649710655212,1.8991148752324722,11.57396944363912
0.18727538311047595,0.9999999999997763,0.9999999999999968,0.9999999999999974,false,true,true,true,10162,7085,192.3125,597.7647058823529,212.9550380706787,178.64426612854004,2.144423246383667,12.526766945334042
0.8036011350245158,1.0000000000000062,1.0000000000000027,1.0000000000000042,true,true,true,true,10292,7284,188.0,605.4117647058823,220.77349185943604,182.4295129776001,2.396498680114746,12.98667599173153
0.0027625839750455667,1.0000000000000002,1.000000000000001,0.9999999999999982,false,true,true,true,13272,7512,338.8235294117647,737.3333333333334,226.7035870552063,183.29638290405273,2.5533649500678566,12.594643725289238
0.016389494204921397,0.9999999999999594,0.9999999999999999,0.9999999999999992,false,true,true,true,25028,7740,1016.9411764705883,1390.4444444444443,295.9731271266937,189.80801606178284,6.245006533230052,16.44295150703854
0.9315599926907492,1.000000000000001,1.0,0.9999999999999986,true,true,true,true,17106,7231,548.6111111111111,900.3157894736842,252.08681797981262,189.2884759902954,3.4887967771954007,13.2677272620954
0.9986142417369507,0.999999999999999,1.0000000000000007,1.0000000000000009,true,true,true,true,11488,7527,220.05555555555554,604.6315789473684,241.25327515602112,195.08132004737854,2.56510861714681,12.697540797685322
0.99999188953725,1.0000000000000029,1.0000000000000027,0.999999999999998,true,true,true,true,14241,7731,434.0,890.0625,239.37680220603943,203.8908290863037,2.3657315413157147,14.961050137877464
0.9340144825670399,0.9999999999999944,0.9999999999999999,1.0000000000000027,true,true,true,true,12068,7832,282.4,754.25,228.85553312301636,181.71112513542175,3.142960532506307,14.303470820188522
0.953404308035318,1.000000000000005,1.0000000000000007,0.9999999999999961,true,true,true,true,13342,6998,373.1764705882353,741.2222222222222,218.8586928844452,181.3559238910675,2.2060452349045696,12.158816271358067
0.3588909318282482,1.000000000000003,0.9999999999999992,1.0000000000000016,false,true,true,true,16375,7339,531.5294117647059,909.7222222222222,218.95337200164795,178.956209897995,2.35277424139135,12.164076222313774
0.7614970202359513,0.9999999999998439,0.9999999999999984,1.000000000000003,true,true,true,true,10524,7600,208.85714285714286,701.6,223.301283121109,183.9845790863037,2.808336002486093,14.886752208073935
