timestep,true_goal_probs,goal_probs_0,goal_probs_1,goal_probs_2
1,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
7,0.5,0.125,0.375,0.5
13,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666
19,0.8,0.2,0,0.8
25,1,0,0,1
31,1,0,0,1
37,1,0,0,1
43,1,0,0,1
46,1,0,0,1
