step_times,step_durs,states_visited,true_goal_probs,goal_probs_0,goal_probs_1,goal_probs_2
10.62766695022583,10.62766695022583,1159,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
20.719527006149292,10.091860055923462,1147,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
30.608314990997314,9.888787984848022,1117,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
40.134212017059326,9.525897026062012,1072,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
49.6936399936676,9.559427976608276,1012,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
58.425060987472534,8.731420993804932,955,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
66.2530210018158,7.827960014343262,891,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
72.52796387672424,6.274942874908447,738,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
75.78683686256409,3.2588729858398438,371,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
77.32623791694641,1.5394010543823242,184,0.5,0.5,0.5,1.5695663960240148e-17
78.1697928905487,0.8435549736022949,103,0.5,0.5,0.5,1.5695663960240148e-17
78.75986790657043,0.5900750160217285,74,0.5,0.5,0.5,1.5695663960240148e-17
79.21224188804626,0.4523739814758301,58,0.5,0.5,0.5,4.927077343055629e-34
79.70854783058167,0.4963059425354004,67,0.5,0.5,0.5,1.5466750056542803e-50
80.64112401008606,0.9325761795043945,118,1.0,1.0,3.1391327920480296e-17,9.710436457780846e-67
82.65222382545471,2.0110998153686523,243,1.0,1.0,9.854154686111257e-34,3.0482349509718567e-83
85.17224192619324,2.5200181007385254,305,1.0,1.0,2.031092662734811e-42,6.282880511239462e-92
